level2.phylum.gg,level3.class.gg,level4.order.gg,level5.family.gg,level6.genus.gg
,,k__Bacteria;p__KSB3;c__GN06;o__,k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__lheB3-7,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Helcobacillus
,,k__Bacteria;p__KSB3;c__MAT-CR-H3-D11;o__,k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__OTUb7,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus
,,k__Bacteria;p__LCP-89;c__;o__,k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__SM1H02;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Dermatophilus
,,k__Bacteria;p__LCP-89;c__SAW1_B44;o__,k__Bacteria;p__Chlorobi;c__OPB56;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Kineosphaera
,,k__Bacteria;p__LD1;c__;o__,k__Bacteria;p__Chlorobi;c__SJA-28;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Piscicoccus
,,k__Bacteria;p__Lentisphaerae;c__;o__,k__Bacteria;p__Chloroflexi;c__;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__
,,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__,k__Bacteria;p__Chloroflexi;c__[Thermobacula];o__[Thermobaculales];f__[Thermobaculaceae],k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia
,,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Lentisphaerales,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__
,,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__A31;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Actinomycetales
,,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Z20,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__A31;f__S47,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Frankia
,,k__Bacteria;p__MAT-CR-M4-B07;c__;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Kaistibacter
,,k__Bacteria;p__MVP-21;c__;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales;f__Ardenscatenaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__
,,k__Bacteria;p__MVS-104;c__;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Blastococcus
,,k__Bacteria;p__NC10;c__;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus
,,k__Bacteria;p__NC10;c__12-24;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter
,,k__Bacteria;p__NC10;c__12-24;o__JH-WHS47,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__DRC31;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae;g__
,,k__Bacteria;p__NC10;c__12-24;o__Methylomirabiliales,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__envOPS12;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae;g__Glycomyces
,,k__Bacteria;p__NC10;c__12-24;o__MIZ17,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae;g__Haloglycomyces
,,k__Bacteria;p__NC10;c__wb1-A12;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae;g__
,,k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__MSB-1E9;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae;g__Gordonia
,,k__Bacteria;p__NKB19;c__;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__O4D2Z37;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae;g__Millisia
,,k__Bacteria;p__NKB19;c__noFP_H4;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__OPB11;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__
,,k__Bacteria;p__NKB19;c__SHAB590;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__pLW-97;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Arsenicicoccus
,,k__Bacteria;p__NKB19;c__TSBW08;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__S0208;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Intrasporangium
,,k__Bacteria;p__NPL-UPA2;c__;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SB-34;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Janibacter
,,k__Bacteria;p__OC31;c__;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Knoellia
,,k__Bacteria;p__OctSpA1-106;c__;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Kribbia
,,k__Bacteria;p__OD1;c__;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__oc28,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Kytococcus
,,k__Bacteria;p__OD1;c__ABY1;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SHA-31,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Lapillicoccus
,,k__Bacteria;p__OD1;c__Mb-NB09;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SJA-101,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Marihabitans
,,k__Bacteria;p__OD1;c__SM2F11;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SHA-20;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Oryzihumus
,,k__Bacteria;p__OD1;c__ZB2;o__,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Phycicoccus
,,k__Bacteria;p__OP1;c__[Acetothermia];o__[Acetothermales],k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__WCHB1-50;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Serinicoccus
,,k__Bacteria;p__OP1;c__KB1;o__,k__Bacteria;p__Chloroflexi;c__C0119;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Terracoccus
,,k__Bacteria;p__OP1;c__MSBL6;o__,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Tetrasphaera
,,k__Bacteria;p__OP1;c__OPB14;o__,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae],k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Jonesiaceae;g__
,,k__Bacteria;p__OP11;c__;o__,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Roseiflexaceae],k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Jonesiaceae;g__Jonesia
,,k__Bacteria;p__OP11;c__OP11-1;o__,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__AKIW781;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__
,,k__Bacteria;p__OP11;c__OP11-1;o__BB36,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Kineococcus
,,k__Bacteria;p__OP11;c__OP11-1;o__OPB92,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales;f__[Chlorothrixaceae],k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Kineosporia
,,k__Bacteria;p__OP11;c__OP11-2;o__,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales;f__01D2Z48,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Quadrisphaera
,,k__Bacteria;p__OP11;c__OP11-2;o__KD3-145,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales;f__Chloroflexaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__
,,k__Bacteria;p__OP11;c__OP11-2;o__WCHB1-07,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales;f__FFCH7168,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Agreia
,,k__Bacteria;p__OP11;c__OP11-3;o__,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales;f__Oscillochloridaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Agrococcus
,,k__Bacteria;p__OP11;c__OP11-4;o__,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales;f__SBYO_3720,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces
,,k__Bacteria;p__OP11;c__WCHB1-64;o__,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales;f__YCB18,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Candidatus Aquiluna
,,k__Bacteria;p__OP11;c__WCHB1-64;o__d153,k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Herpetosiphonales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Candidatus Rhodoluna
,,k__Bacteria;p__OP11;c__WCHB1-64;o__K2-4-19,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter
,,k__Bacteria;p__OP3;c__;o__,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium
,,k__Bacteria;p__OP3;c__BD4-9;o__,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__Dehalococcoidaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryocola
,,k__Bacteria;p__OP3;c__koll11;o__,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__FS117-23B-02;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium
,,k__Bacteria;p__OP3;c__koll11;o__GIF10,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__GIF9;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Frigoribacterium
,,k__Bacteria;p__OP3;c__PBS-25;o__,k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Frondihabitans
,,k__Bacteria;p__OP8;c__;o__,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Glaciibacter
,,k__Bacteria;p__OP8;c__OP8_1;o__,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Herbiconiux
,,k__Bacteria;p__OP8;c__OP8_1;o__HMMVPog-54,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B10-SB3A;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia
,,k__Bacteria;p__OP8;c__OP8_1;o__OPB95,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B12-WMSP1;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter
,,k__Bacteria;p__OP8;c__OP8_1;o__SHA-124,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Elev-1554;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
,,k__Bacteria;p__OP8;c__OP8_2;o__,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__JG30-KF-AS9;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Mycetocola
,,k__Bacteria;p__OP8;c__SAW1_B6;o__,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter
,,k__Bacteria;p__OP9;c__;o__,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Rathayibacter
,,k__Bacteria;p__OP9;c__JS1;o__BA021,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Salinibacterium
,,k__Bacteria;p__OP9;c__JS1;o__SB-45,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__TK10;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Schumannella
,,k__Bacteria;p__OP9;c__OPB46;o__,k__Bacteria;p__Chloroflexi;c__MVP-21;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Subtercola
,,k__Bacteria;p__OP9;c__OPB46;o__OPB72,k__Bacteria;p__Chloroflexi;c__P2-11E;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Yonghaparkia
,,k__Bacteria;p__OP9;c__OPB46;o__SHA-1,k__Bacteria;p__Chloroflexi;c__S085;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__
,,k__Bacteria;p__PAUC34f;c__;o__,k__Bacteria;p__Chloroflexi;c__SAR202;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Acaricomes
,,k__Bacteria;p__Planctomycetes;c__;o__,k__Bacteria;p__Chloroflexi;c__SHA-26;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
,,k__Bacteria;p__Planctomycetes;c__[Brocadiae];o__Brocadiales,k__Bacteria;p__Chloroflexi;c__SL56;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Citricoccus
,,k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5;o__,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria
,,k__Bacteria;p__Planctomycetes;c__BD7-11;o__,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__AKYG1722;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Microbispora
,,k__Bacteria;p__Planctomycetes;c__C6;o__d113,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Ellin6537;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus
,,k__Bacteria;p__Planctomycetes;c__C6;o__MVS-107,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia
,,k__Bacteria;p__Planctomycetes;c__C6;o__Ucm1571,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Renibacterium
,,k__Bacteria;p__Planctomycetes;c__ODP123;o__,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia
,,k__Bacteria;p__Planctomycetes;c__ODP123;o__T8-B82,k__Bacteria;p__Chloroflexi;c__TK10;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Sinomonas
,,k__Bacteria;p__Planctomycetes;c__OM190;o__,k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Zhihengliuella
,,k__Bacteria;p__Planctomycetes;c__OM190;o__agg27,k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__5B-12,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__
,,k__Bacteria;p__Planctomycetes;c__OM190;o__CL500-15,k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__Dolo_23,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Actinocatenispora
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__,k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Actinoplanes
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__AKAU3564,k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__FFCH4570,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Catellatospora
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__C86,k__Bacteria;p__Chloroflexi;c__TK17;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Catenuloplanes
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__CCM11a,k__Bacteria;p__Chloroflexi;c__TK17;o__mle1-48;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Couchioplanes
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__CPla-3,k__Bacteria;p__Chloroflexi;c__TK17;o__TK18;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Dactylosporangium
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__MBMPE71,k__Bacteria;p__Chrysiogenetes;c__Chrysiogenetes;o__Chrysiogenales;f__Chrysiogenaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Longispora
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__mle1-8,k__Bacteria;p__Cyanobacteria;c__;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Micromonospora
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__MSBL9,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Phytohabitans
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__ODP1230B3009,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Pilimelia
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__SM1D11;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Solwaraspora
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Pla1,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__SM2F09;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Verrucosispora
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__S-70,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Virgisporangium
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__SHA-43,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__SHUX583,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__CAB-I;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae;g__
,,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cercozoa;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__
,,k__Bacteria;p__Planctomycetes;c__Pla3;o__,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cercozoa;f__Chlorarachniophyceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Nocardia
,,k__Bacteria;p__Planctomycetes;c__Pla4;o__,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
,,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Chlamydomonadaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Segniliparus
,,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__B97,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Mamiellaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Skermania
,,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Trebouxiophyceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Smaragdicoccus
,,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Ulvophyceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__
,,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cryptophyta;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Actinopolymorpha
,,k__Bacteria;p__Planctomycetes;c__SBZP_4958;o__,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Euglenozoa;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Aeromicrobium
,,k__Bacteria;p__Planctomycetes;c__vadinHA49;o__,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Glaucocystophyceae;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Friedmanniella
,,k__Bacteria;p__Planctomycetes;c__vadinHA49;o__DH61,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Kribbella
,,k__Bacteria;p__Planctomycetes;c__vadinHA49;o__p04_C01,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Rhodophyta;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides
,,k__Bacteria;p__Planctomycetes;c__vadinHA49;o__PeHg47,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Pimelobacter
